HGNC ID	NCBI gene ID
HGNC:16806	51366
HGNC:16850	9646
HGNC:16863	9774
HGNC:16870	9833
HGNC:16915	10456
HGNC:16966	10771
HGNC:1697	972
HGNC:16971	10818
HGNC:1698	973
HGNC:1699	974
HGNC:16997	10962
HGNC:16999	10978
HGNC:17012	11116
HGNC:17016	11143
HGNC:17052	22872
HGNC:17069	23048
HGNC:17072	23085
HGNC:17073	23092
HGNC:17087	23308
HGNC:17098	23405
HGNC:171	90
HGNC:17101	23512
HGNC:172	91
HGNC:17270	23178
HGNC:17278	10957
HGNC:17284	25913
HGNC:17294	153090
HGNC:173	92
HGNC:17302	257194
HGNC:17352	9582
HGNC:17362	84159
HGNC:17422	50515
HGNC:17440	64326
HGNC:17449	51302
HGNC:1748	999
HGNC:1749	1008
HGNC:1750	1009
HGNC:1756	1015
HGNC:17575	23013
HGNC:17582	23522
HGNC:17635	29126
HGNC:17643	57120
HGNC:17675	57510
HGNC:17677	9135
HGNC:1773	1019
HGNC:1777	1021
HGNC:1779	1024
HGNC:17792	143187
HGNC:1784	1026
HGNC:17849	25960
HGNC:1785	1027
HGNC:17856	26061
HGNC:1786	1028
HGNC:17868	27113
HGNC:17869	27125
HGNC:1787	1029
HGNC:1788	1030
HGNC:1789	1031
HGNC:1790	1032
HGNC:17904	29102
HGNC:18037	196528
HGNC:18040	57492
HGNC:1805	1044
HGNC:18053	168507
HGNC:1806	1045
HGNC:18071	56946
HGNC:18078	51341
HGNC:18081	11197
HGNC:18122	64321
HGNC:18126	84133
HGNC:18145	84295
HGNC:18184	54165
HGNC:18185	54206
HGNC:18274	57105
HGNC:18280	55819
HGNC:18282	55872
HGNC:18318	171023
HGNC:1833	1050
HGNC:18420	29072
HGNC:18432	4253
HGNC:18505	54894
HGNC:18507	83417
HGNC:1851	1058
HGNC:18562	54738
HGNC:1858	11064
HGNC:18585	124540
HGNC:18653	89857
HGNC:18674	51428
HGNC:18709	85417
HGNC:18731	80380
HGNC:18782	8030
HGNC:18806	23261
HGNC:18856	90993
HGNC:18957	9863
HGNC:19034	22983
HGNC:19035	23139
HGNC:19048	259266
HGNC:19124	81608
HGNC:19137	80381
HGNC:1917	1106
HGNC:1919	1108
HGNC:19217	63892
HGNC:1925	1111
HGNC:19291	114788
HGNC:1935	26511
HGNC:19383	8651
HGNC:19437	57820
HGNC:19440	51119
HGNC:19699	10769
HGNC:19721	124583
HGNC:19744	9901
HGNC:19866	54799
HGNC:19876	80314
HGNC:2001	26585
HGNC:20064	84101
HGNC:20092	55729
HGNC:2024	1185
HGNC:20362	283638
HGNC:20456	84231
HGNC:20473	83990
HGNC:20482	115825
HGNC:20503	126961
HGNC:20505	333932
HGNC:20594	51162
HGNC:20604	22894
HGNC:20748	55120
HGNC:20758	84936
HGNC:20817	353088
HGNC:20866	84870
HGNC:20868	57621
HGNC:20886	55326
HGNC:20893	54880
HGNC:2092	1213
HGNC:2093	8218
HGNC:21100	9444
HGNC:21101	51596
HGNC:21118	345930
HGNC:21163	9656
HGNC:21316	29123
HGNC:21373	83931
HGNC:21496	27236
HGNC:21649	55971
HGNC:21698	54476
HGNC:21729	359948
HGNC:21746	22849
HGNC:21874	80028
HGNC:2197	1277
HGNC:2198	1278
HGNC:2200	1280
HGNC:2201	1281
HGNC:22202	9715
HGNC:22219	57670
HGNC:2235	1316
HGNC:2239	8533
HGNC:2285	1345
HGNC:22950	80243
HGNC:22964	9967
HGNC:22989	169044
HGNC:23019	8233
HGNC:23109	79633
HGNC:23112	120114
HGNC:23114	8178
HGNC:23168	57697
HGNC:23177	9817
HGNC:23258	90827
HGNC:23339	84320
HGNC:23438	728118
HGNC:23445	729262
HGNC:23447	728130
HGNC:2345	1385
HGNC:2348	1387
HGNC:23576	84376
HGNC:2363	1399
HGNC:23688	283149
HGNC:23692	57007
HGNC:23696	25976
HGNC:23720	64764
HGNC:23805	55252
HGNC:23845	84464
HGNC:23846	138151
HGNC:24011	10152
HGNC:24042	25937
HGNC:24054	57082
HGNC:24086	29974
HGNC:24098	8470
HGNC:24224	51755
HGNC:24255	51018
HGNC:2433	1436
HGNC:2439	1441
HGNC:24432	84324
HGNC:24489	26065
HGNC:24499	26166
HGNC:2451	1452
HGNC:24605	25925
HGNC:24649	55500
HGNC:24656	27335
HGNC:2468	9126
HGNC:24712	54855
HGNC:24948	84444
HGNC:25031	25766
HGNC:25048	92105
HGNC:2505	1493
HGNC:2509	1495
HGNC:2510	1496
HGNC:2514	1499
HGNC:2515	1500
HGNC:2516	1501
HGNC:25193	129642
HGNC:25265	55596
HGNC:25292	90592
HGNC:25301	442444
HGNC:25311	653604
HGNC:25413	64420
HGNC:25463	89848
HGNC:2553	8452
HGNC:25539	55159
HGNC:2554	8451
HGNC:25540	55160
HGNC:25543	55164
HGNC:25568	55215
HGNC:2557	1523
HGNC:2561	7852
HGNC:25635	55783
HGNC:25657	63035
HGNC:25674	64769
HGNC:25829	84142
HGNC:2584	1540
HGNC:25883	80139
HGNC:25907	84902
HGNC:2593	1586
HGNC:25941	54790
HGNC:25966	54845
HGNC:26034	54949
HGNC:26038	55654
HGNC:26144	79728
HGNC:26148	64784
HGNC:26157	80304
HGNC:2622	1558
HGNC:26663	168975
HGNC:2681	1616
HGNC:26817	283651
HGNC:26837	139285
HGNC:2685	1618
HGNC:26881	348654
HGNC:270	142
HGNC:2701	1630
HGNC:2711	1639
HGNC:2718	1643
HGNC:272	10038
HGNC:2726	1649
HGNC:273	10039
HGNC:2730	780
HGNC:2731	4921
HGNC:27310	201163
HGNC:2735	1662
HGNC:2738	1665
HGNC:2745	1654
HGNC:2746	1655
HGNC:2747	1656
HGNC:2768	7913
HGNC:28029	51059
HGNC:28084	91464
HGNC:28115	219899
HGNC:28314	79145
HGNC:28349	116028
HGNC:28400	728911
HGNC:28449	65998
HGNC:28453	79018
HGNC:2847	54487
HGNC:28583	340419
HGNC:28611	253260
HGNC:28648	129563
HGNC:28843	60313
HGNC:28844	81545
HGNC:28867	10644
HGNC:28873	79679
HGNC:2890	1736
HGNC:28917	221895
HGNC:28958	9688
HGNC:28966	9686
HGNC:28987	23185
HGNC:29006	9919
HGNC:2901	1740
HGNC:29012	23135
HGNC:29088	23244
HGNC:29116	23023
HGNC:29127	285527
HGNC:29186	22852
HGNC:29187	23067
HGNC:29219	57482
HGNC:29302	57650
HGNC:29319	57698
HGNC:29363	85462
HGNC:29406	114825
HGNC:29484	80312
HGNC:29529	79718
HGNC:29605	10019
HGNC:29633	259283
HGNC:29665	378938
HGNC:2974	1785
HGNC:2976	1786
HGNC:2978	1788
HGNC:2979	1789
HGNC:29819	57496
HGNC:29851	55728
HGNC:29914	57122
HGNC:29919	256646
HGNC:29980	283150
HGNC:30000	27241
